LarvaID,Diet,Dose,FoodWeighing
1,Good,1/16,Yes
2,Good,1/16,Yes
3,Good,1/16,Yes
4,Good,1/16,Yes
5,Good,1/16,Yes
6,Poor,Control,Yes
7,Poor,Control,Yes
8,Poor,Control,Yes
9,Poor,Control,Yes
10,Poor,Control,Yes
11,Poor,1/4,No
12,Poor,1/4,No
13,Poor,1/4,No
14,Poor,1/4,No
15,Poor,1/4,No
16,Poor,1,Yes
17,Poor,1,Yes
18,Poor,1,Yes
19,Poor,1,Yes
20,Poor,1,Yes
21,Good,1/4,No
22,Good,1/4,No
23,Good,1/4,No
24,Good,1/4,No
25,Good,1/4,No
26,Poor,1/64,No
27,Poor,1/64,No
28,Poor,1/64,No
29,Poor,1/64,No
30,Poor,1/64,No
31,Poor,1/16,Yes
32,Poor,1/16,Yes
33,Poor,1/16,Yes
34,Poor,1/16,Yes
35,Poor,1/16,Yes
36,Good,1/64,No
37,Good,1/64,No
38,Good,1/64,No
39,Good,1/64,No
40,Good,1/64,No
41,Good,1,Yes
42,Good,1,Yes
43,Good,1,Yes
44,Good,1,Yes
45,Good,1,Yes
46,Good,Control,Yes
47,Good,Control,Yes
48,Good,Control,Yes
49,Good,Control,Yes
50,Good,Control,Yes
51,Poor,1/16,Yes
52,Poor,1/16,Yes
53,Poor,1/16,Yes
54,Poor,1/16,Yes
55,Poor,1/16,Yes
56,Good,1/16,Yes
57,Good,1/16,Yes
58,Good,1/16,Yes
59,Good,1/16,Yes
60,Good,1/16,Yes
61,Good,Control,Yes
62,Good,Control,Yes
63,Good,Control,Yes
64,Good,Control,Yes
65,Good,Control,Yes
66,Good,1/4,No
67,Good,1/4,No
68,Good,1/4,No
69,Good,1/4,No
70,Good,1/4,No
71,Good,1,Yes
72,Good,1,Yes
73,Good,1,Yes
74,Good,1,Yes
75,Good,1,Yes
76,Poor,1/64,No
77,Poor,1/64,No
78,Poor,1/64,No
79,Poor,1/64,No
80,Poor,1/64,No
81,Poor,1/4,No
82,Poor,1/4,No
83,Poor,1/4,No
84,Poor,1/4,No
85,Poor,1/4,No
86,Good,1/64,No
87,Good,1/64,No
88,Good,1/64,No
89,Good,1/64,No
90,Good,1/64,No
91,Poor,1,Yes
92,Poor,1,Yes
93,Poor,1,Yes
94,Poor,1,Yes
95,Poor,1,Yes
96,Poor,Control,Yes
97,Poor,Control,Yes
98,Poor,Control,Yes
99,Poor,Control,Yes
100,Poor,Control,Yes
