LarvaID,Diet,Dose,FoodWeighing
1,Poor,1/64,No
2,Poor,1/64,No
3,Poor,1/64,No
4,Poor,1/64,No
5,Poor,1/64,No
6,Poor,1/16,Yes
7,Poor,1/16,Yes
8,Poor,1/16,Yes
9,Poor,1/16,Yes
10,Poor,1/16,Yes
11,Good,1/64,No
12,Good,1/64,No
13,Good,1/64,No
14,Good,1/64,No
15,Good,1/64,No
16,Good,1/4,No
17,Good,1/4,No
18,Good,1/4,No
19,Good,1/4,No
20,Good,1/4,No
21,Good,1/16,Yes
22,Good,1/16,Yes
23,Good,1/16,Yes
24,Good,1/16,Yes
25,Good,1/16,Yes
26,Good,1,Yes
27,Good,1,Yes
28,Good,1,Yes
29,Good,1,Yes
30,Good,1,Yes
31,Poor,1/4,No
32,Poor,1/4,No
33,Poor,1/4,No
34,Poor,1/4,No
35,Poor,1/4,No
36,Good,Control,Yes
37,Good,Control,Yes
38,Good,Control,Yes
39,Good,Control,Yes
40,Good,Control,Yes
41,Poor,Control,Yes
42,Poor,Control,Yes
43,Poor,Control,Yes
44,Poor,Control,Yes
45,Poor,Control,Yes
46,Poor,1,Yes
47,Poor,1,Yes
48,Poor,1,Yes
49,Poor,1,Yes
50,Poor,1,Yes
51,Poor,1/16,Yes
52,Poor,1/16,Yes
53,Poor,1/16,Yes
54,Poor,1/16,Yes
55,Poor,1/16,Yes
56,Poor,Control,Yes
57,Poor,Control,Yes
58,Poor,Control,Yes
59,Poor,Control,Yes
60,Poor,Control,Yes
61,Poor,1,Yes
62,Poor,1,Yes
63,Poor,1,Yes
64,Poor,1,Yes
65,Poor,1,Yes
66,Poor,1/4,No
67,Poor,1/4,No
68,Poor,1/4,No
69,Poor,1/4,No
70,Poor,1/4,No
71,Good,1,Yes
72,Good,1,Yes
73,Good,1,Yes
74,Good,1,Yes
75,Good,1,Yes
76,Good,Control,Yes
77,Good,Control,Yes
78,Good,Control,Yes
79,Good,Control,Yes
80,Good,Control,Yes
81,Poor,1/64,No
82,Poor,1/64,No
83,Poor,1/64,No
84,Poor,1/64,No
85,Poor,1/64,No
86,Good,1/64,No
87,Good,1/64,No
88,Good,1/64,No
89,Good,1/64,No
90,Good,1/64,No
91,Good,1/16,Yes
92,Good,1/16,Yes
93,Good,1/16,Yes
94,Good,1/16,Yes
95,Good,1/16,Yes
96,Good,1/4,No
97,Good,1/4,No
98,Good,1/4,No
99,Good,1/4,No
100,Good,1/4,No
