LarvaID,Diet,Dose,FoodWeighing
1,Poor,1/4,No
2,Poor,1/4,No
3,Poor,1/4,No
4,Poor,1/4,No
5,Poor,1/4,No
6,Good,1,Yes
7,Good,1,Yes
8,Good,1,Yes
9,Good,1,Yes
10,Good,1,Yes
11,Good,1/64,No
12,Good,1/64,No
13,Good,1/64,No
14,Good,1/64,No
15,Good,1/64,No
16,Poor,1/16,Yes
17,Poor,1/16,Yes
18,Poor,1/16,Yes
19,Poor,1/16,Yes
20,Poor,1/16,Yes
21,Good,Control,Yes
22,Good,Control,Yes
23,Good,Control,Yes
24,Good,Control,Yes
25,Good,Control,Yes
26,Good,1/16,Yes
27,Good,1/16,Yes
28,Good,1/16,Yes
29,Good,1/16,Yes
30,Good,1/16,Yes
31,Poor,Control,Yes
32,Poor,Control,Yes
33,Poor,Control,Yes
34,Poor,Control,Yes
35,Poor,Control,Yes
36,Good,1/4,No
37,Good,1/4,No
38,Good,1/4,No
39,Good,1/4,No
40,Good,1/4,No
41,Poor,1/64,No
42,Poor,1/64,No
43,Poor,1/64,No
44,Poor,1/64,No
45,Poor,1/64,No
46,Poor,1,Yes
47,Poor,1,Yes
48,Poor,1,Yes
49,Poor,1,Yes
50,Poor,1,Yes
51,Good,1/64,No
52,Good,1/64,No
53,Good,1/64,No
54,Good,1/64,No
55,Good,1/64,No
56,Good,Control,Yes
57,Good,Control,Yes
58,Good,Control,Yes
59,Good,Control,Yes
60,Good,Control,Yes
61,Good,1/4,No
62,Good,1/4,No
63,Good,1/4,No
64,Good,1/4,No
65,Good,1/4,No
66,Poor,Control,Yes
67,Poor,Control,Yes
68,Poor,Control,Yes
69,Poor,Control,Yes
70,Poor,Control,Yes
71,Good,1,Yes
72,Good,1,Yes
73,Good,1,Yes
74,Good,1,Yes
75,Good,1,Yes
76,Poor,1,Yes
77,Poor,1,Yes
78,Poor,1,Yes
79,Poor,1,Yes
80,Poor,1,Yes
81,Good,1/16,Yes
82,Good,1/16,Yes
83,Good,1/16,Yes
84,Good,1/16,Yes
85,Good,1/16,Yes
86,Poor,1/4,No
87,Poor,1/4,No
88,Poor,1/4,No
89,Poor,1/4,No
90,Poor,1/4,No
91,Poor,1/64,No
92,Poor,1/64,No
93,Poor,1/64,No
94,Poor,1/64,No
95,Poor,1/64,No
96,Poor,1/16,Yes
97,Poor,1/16,Yes
98,Poor,1/16,Yes
99,Poor,1/16,Yes
100,Poor,1/16,Yes
