LarvaID,Diet,Dose,FoodWeighing
1,Poor,1,Yes
2,Poor,1,Yes
3,Poor,1,Yes
4,Poor,1,Yes
5,Poor,1,Yes
6,Good,1,Yes
7,Good,1,Yes
8,Good,1,Yes
9,Good,1,Yes
10,Good,1,Yes
11,Good,1/64,No
12,Good,1/64,No
13,Good,1/64,No
14,Good,1/64,No
15,Good,1/64,No
16,Good,1/4,No
17,Good,1/4,No
18,Good,1/4,No
19,Good,1/4,No
20,Good,1/4,No
21,Good,Control,Yes
22,Good,Control,Yes
23,Good,Control,Yes
24,Good,Control,Yes
25,Good,Control,Yes
26,Poor,1/4,No
27,Poor,1/4,No
28,Poor,1/4,No
29,Poor,1/4,No
30,Poor,1/4,No
31,Poor,1/16,Yes
32,Poor,1/16,Yes
33,Poor,1/16,Yes
34,Poor,1/16,Yes
35,Poor,1/16,Yes
36,Good,1/16,Yes
37,Good,1/16,Yes
38,Good,1/16,Yes
39,Good,1/16,Yes
40,Good,1/16,Yes
41,Poor,1/64,No
42,Poor,1/64,No
43,Poor,1/64,No
44,Poor,1/64,No
45,Poor,1/64,No
46,Poor,Control,Yes
47,Poor,Control,Yes
48,Poor,Control,Yes
49,Poor,Control,Yes
50,Poor,Control,Yes
51,Poor,1/4,No
52,Poor,1/4,No
53,Poor,1/4,No
54,Poor,1/4,No
55,Poor,1/4,No
56,Poor,1,Yes
57,Poor,1,Yes
58,Poor,1,Yes
59,Poor,1,Yes
60,Poor,1,Yes
61,Good,1/64,No
62,Good,1/64,No
63,Good,1/64,No
64,Good,1/64,No
65,Good,1/64,No
66,Good,Control,Yes
67,Good,Control,Yes
68,Good,Control,Yes
69,Good,Control,Yes
70,Good,Control,Yes
71,Poor,1/64,No
72,Poor,1/64,No
73,Poor,1/64,No
74,Poor,1/64,No
75,Poor,1/64,No
76,Good,1/16,Yes
77,Good,1/16,Yes
78,Good,1/16,Yes
79,Good,1/16,Yes
80,Good,1/16,Yes
81,Good,1/4,No
82,Good,1/4,No
83,Good,1/4,No
84,Good,1/4,No
85,Good,1/4,No
86,Good,1,Yes
87,Good,1,Yes
88,Good,1,Yes
89,Good,1,Yes
90,Good,1,Yes
91,Poor,Control,Yes
92,Poor,Control,Yes
93,Poor,Control,Yes
94,Poor,Control,Yes
95,Poor,Control,Yes
96,Poor,1/16,Yes
97,Poor,1/16,Yes
98,Poor,1/16,Yes
99,Poor,1/16,Yes
100,Poor,1/16,Yes
