LarvaID,Diet,Dose,FoodWeighing
1,Good,1/64,No
2,Good,1/64,No
3,Good,1/64,No
4,Good,1/64,No
5,Good,1/64,No
6,Good,Control,Yes
7,Good,Control,Yes
8,Good,Control,Yes
9,Good,Control,Yes
10,Good,Control,Yes
11,Poor,Control,Yes
12,Poor,Control,Yes
13,Poor,Control,Yes
14,Poor,Control,Yes
15,Poor,Control,Yes
16,Good,1/16,Yes
17,Good,1/16,Yes
18,Good,1/16,Yes
19,Good,1/16,Yes
20,Good,1/16,Yes
21,Good,1,Yes
22,Good,1,Yes
23,Good,1,Yes
24,Good,1,Yes
25,Good,1,Yes
26,Poor,1/4,No
27,Poor,1/4,No
28,Poor,1/4,No
29,Poor,1/4,No
30,Poor,1/4,No
31,Poor,1,Yes
32,Poor,1,Yes
33,Poor,1,Yes
34,Poor,1,Yes
35,Poor,1,Yes
36,Poor,1/64,No
37,Poor,1/64,No
38,Poor,1/64,No
39,Poor,1/64,No
40,Poor,1/64,No
41,Good,1/4,No
42,Good,1/4,No
43,Good,1/4,No
44,Good,1/4,No
45,Good,1/4,No
46,Poor,1/16,Yes
47,Poor,1/16,Yes
48,Poor,1/16,Yes
49,Poor,1/16,Yes
50,Poor,1/16,Yes
51,Poor,1/4,No
52,Poor,1/4,No
53,Poor,1/4,No
54,Poor,1/4,No
55,Poor,1/4,No
56,Poor,1/16,Yes
57,Poor,1/16,Yes
58,Poor,1/16,Yes
59,Poor,1/16,Yes
60,Poor,1/16,Yes
61,Poor,1,Yes
62,Poor,1,Yes
63,Poor,1,Yes
64,Poor,1,Yes
65,Poor,1,Yes
66,Poor,Control,Yes
67,Poor,Control,Yes
68,Poor,Control,Yes
69,Poor,Control,Yes
70,Poor,Control,Yes
71,Poor,1/64,No
72,Poor,1/64,No
73,Poor,1/64,No
74,Poor,1/64,No
75,Poor,1/64,No
76,Good,Control,Yes
77,Good,Control,Yes
78,Good,Control,Yes
79,Good,Control,Yes
80,Good,Control,Yes
81,Good,1/4,No
82,Good,1/4,No
83,Good,1/4,No
84,Good,1/4,No
85,Good,1/4,No
86,Good,1,Yes
87,Good,1,Yes
88,Good,1,Yes
89,Good,1,Yes
90,Good,1,Yes
91,Good,1/64,No
92,Good,1/64,No
93,Good,1/64,No
94,Good,1/64,No
95,Good,1/64,No
96,Good,1/16,Yes
97,Good,1/16,Yes
98,Good,1/16,Yes
99,Good,1/16,Yes
100,Good,1/16,Yes
