LarvaID,Diet,Dose,FoodWeighing
1,Poor,1/4,No
2,Poor,1/4,No
3,Poor,1/4,No
4,Poor,1/4,No
5,Poor,1/4,No
6,Good,1/16,Yes
7,Good,1/16,Yes
8,Good,1/16,Yes
9,Good,1/16,Yes
10,Good,1/16,Yes
11,Poor,Control,Yes
12,Poor,Control,Yes
13,Poor,Control,Yes
14,Poor,Control,Yes
15,Poor,Control,Yes
16,Good,1,Yes
17,Good,1,Yes
18,Good,1,Yes
19,Good,1,Yes
20,Good,1,Yes
21,Good,Control,Yes
22,Good,Control,Yes
23,Good,Control,Yes
24,Good,Control,Yes
25,Good,Control,Yes
26,Poor,1/16,Yes
27,Poor,1/16,Yes
28,Poor,1/16,Yes
29,Poor,1/16,Yes
30,Poor,1/16,Yes
31,Poor,1,Yes
32,Poor,1,Yes
33,Poor,1,Yes
34,Poor,1,Yes
35,Poor,1,Yes
36,Good,1/4,No
37,Good,1/4,No
38,Good,1/4,No
39,Good,1/4,No
40,Good,1/4,No
41,Good,1/64,No
42,Good,1/64,No
43,Good,1/64,No
44,Good,1/64,No
45,Good,1/64,No
46,Poor,1/64,No
47,Poor,1/64,No
48,Poor,1/64,No
49,Poor,1/64,No
50,Poor,1/64,No
51,Good,Control,Yes
52,Good,Control,Yes
53,Good,Control,Yes
54,Good,Control,Yes
55,Good,Control,Yes
56,Poor,1,Yes
57,Poor,1,Yes
58,Poor,1,Yes
59,Poor,1,Yes
60,Poor,1,Yes
61,Poor,1/4,No
62,Poor,1/4,No
63,Poor,1/4,No
64,Poor,1/4,No
65,Poor,1/4,No
66,Poor,Control,Yes
67,Poor,Control,Yes
68,Poor,Control,Yes
69,Poor,Control,Yes
70,Poor,Control,Yes
71,Good,1/4,No
72,Good,1/4,No
73,Good,1/4,No
74,Good,1/4,No
75,Good,1/4,No
76,Good,1,Yes
77,Good,1,Yes
78,Good,1,Yes
79,Good,1,Yes
80,Good,1,Yes
81,Good,1/16,Yes
82,Good,1/16,Yes
83,Good,1/16,Yes
84,Good,1/16,Yes
85,Good,1/16,Yes
86,Good,1/64,No
87,Good,1/64,No
88,Good,1/64,No
89,Good,1/64,No
90,Good,1/64,No
91,Poor,1/16,Yes
92,Poor,1/16,Yes
93,Poor,1/16,Yes
94,Poor,1/16,Yes
95,Poor,1/16,Yes
96,Poor,1/64,No
97,Poor,1/64,No
98,Poor,1/64,No
99,Poor,1/64,No
100,Poor,1/64,No
