LarvaID,Diet,Dose,FoodWeighing
1,Good,1/64,No
2,Good,1/64,No
3,Good,1/64,No
4,Good,1/64,No
5,Good,1/64,No
6,Poor,1,Yes
7,Poor,1,Yes
8,Poor,1,Yes
9,Poor,1,Yes
10,Poor,1,Yes
11,Good,1,Yes
12,Good,1,Yes
13,Good,1,Yes
14,Good,1,Yes
15,Good,1,Yes
16,Good,Control,Yes
17,Good,Control,Yes
18,Good,Control,Yes
19,Good,Control,Yes
20,Good,Control,Yes
21,Poor,1/16,Yes
22,Poor,1/16,Yes
23,Poor,1/16,Yes
24,Poor,1/16,Yes
25,Poor,1/16,Yes
26,Poor,1/64,No
27,Poor,1/64,No
28,Poor,1/64,No
29,Poor,1/64,No
30,Poor,1/64,No
31,Poor,1/4,No
32,Poor,1/4,No
33,Poor,1/4,No
34,Poor,1/4,No
35,Poor,1/4,No
36,Poor,Control,Yes
37,Poor,Control,Yes
38,Poor,Control,Yes
39,Poor,Control,Yes
40,Poor,Control,Yes
41,Good,1/4,No
42,Good,1/4,No
43,Good,1/4,No
44,Good,1/4,No
45,Good,1/4,No
46,Good,1/16,Yes
47,Good,1/16,Yes
48,Good,1/16,Yes
49,Good,1/16,Yes
50,Good,1/16,Yes
51,Good,1,Yes
52,Good,1,Yes
53,Good,1,Yes
54,Good,1,Yes
55,Good,1,Yes
56,Poor,1/64,No
57,Poor,1/64,No
58,Poor,1/64,No
59,Poor,1/64,No
60,Poor,1/64,No
61,Poor,1/16,Yes
62,Poor,1/16,Yes
63,Poor,1/16,Yes
64,Poor,1/16,Yes
65,Poor,1/16,Yes
66,Good,1/16,Yes
67,Good,1/16,Yes
68,Good,1/16,Yes
69,Good,1/16,Yes
70,Good,1/16,Yes
71,Poor,Control,Yes
72,Poor,Control,Yes
73,Poor,Control,Yes
74,Poor,Control,Yes
75,Poor,Control,Yes
76,Good,1/64,No
77,Good,1/64,No
78,Good,1/64,No
79,Good,1/64,No
80,Good,1/64,No
81,Good,1/4,No
82,Good,1/4,No
83,Good,1/4,No
84,Good,1/4,No
85,Good,1/4,No
86,Poor,1,Yes
87,Poor,1,Yes
88,Poor,1,Yes
89,Poor,1,Yes
90,Poor,1,Yes
91,Poor,1/4,No
92,Poor,1/4,No
93,Poor,1/4,No
94,Poor,1/4,No
95,Poor,1/4,No
96,Good,Control,Yes
97,Good,Control,Yes
98,Good,Control,Yes
99,Good,Control,Yes
100,Good,Control,Yes
