LarvaID,Diet,Dose,FoodWeighing
1,Poor,1,Yes
2,Poor,1,Yes
3,Poor,1,Yes
4,Poor,1,Yes
5,Poor,1,Yes
6,Good,1/4,No
7,Good,1/4,No
8,Good,1/4,No
9,Good,1/4,No
10,Good,1/4,No
11,Good,1/16,Yes
12,Good,1/16,Yes
13,Good,1/16,Yes
14,Good,1/16,Yes
15,Good,1/16,Yes
16,Good,1/64,No
17,Good,1/64,No
18,Good,1/64,No
19,Good,1/64,No
20,Good,1/64,No
21,Poor,1/16,Yes
22,Poor,1/16,Yes
23,Poor,1/16,Yes
24,Poor,1/16,Yes
25,Poor,1/16,Yes
26,Poor,1/4,No
27,Poor,1/4,No
28,Poor,1/4,No
29,Poor,1/4,No
30,Poor,1/4,No
31,Good,Control,Yes
32,Good,Control,Yes
33,Good,Control,Yes
34,Good,Control,Yes
35,Good,Control,Yes
36,Poor,Control,Yes
37,Poor,Control,Yes
38,Poor,Control,Yes
39,Poor,Control,Yes
40,Poor,Control,Yes
41,Poor,1/64,No
42,Poor,1/64,No
43,Poor,1/64,No
44,Poor,1/64,No
45,Poor,1/64,No
46,Good,1,Yes
47,Good,1,Yes
48,Good,1,Yes
49,Good,1,Yes
50,Good,1,Yes
51,Good,1/4,No
52,Good,1/4,No
53,Good,1/4,No
54,Good,1/4,No
55,Good,1/4,No
56,Poor,Control,Yes
57,Poor,Control,Yes
58,Poor,Control,Yes
59,Poor,Control,Yes
60,Poor,Control,Yes
61,Poor,1/64,No
62,Poor,1/64,No
63,Poor,1/64,No
64,Poor,1/64,No
65,Poor,1/64,No
66,Poor,1/4,No
67,Poor,1/4,No
68,Poor,1/4,No
69,Poor,1/4,No
70,Poor,1/4,No
71,Good,1/16,Yes
72,Good,1/16,Yes
73,Good,1/16,Yes
74,Good,1/16,Yes
75,Good,1/16,Yes
76,Poor,1,Yes
77,Poor,1,Yes
78,Poor,1,Yes
79,Poor,1,Yes
80,Poor,1,Yes
81,Good,1,Yes
82,Good,1,Yes
83,Good,1,Yes
84,Good,1,Yes
85,Good,1,Yes
86,Poor,1/16,Yes
87,Poor,1/16,Yes
88,Poor,1/16,Yes
89,Poor,1/16,Yes
90,Poor,1/16,Yes
91,Good,1/64,No
92,Good,1/64,No
93,Good,1/64,No
94,Good,1/64,No
95,Good,1/64,No
96,Good,Control,Yes
97,Good,Control,Yes
98,Good,Control,Yes
99,Good,Control,Yes
100,Good,Control,Yes
