LarvaID,Diet,Dose,FoodWeighing
1,Poor,1/4,No
2,Poor,1/4,No
3,Poor,1/4,No
4,Poor,1/4,No
5,Poor,1/4,No
6,Poor,1/64,No
7,Poor,1/64,No
8,Poor,1/64,No
9,Poor,1/64,No
10,Poor,1/64,No
11,Poor,1,Yes
12,Poor,1,Yes
13,Poor,1,Yes
14,Poor,1,Yes
15,Poor,1,Yes
16,Good,1/4,No
17,Good,1/4,No
18,Good,1/4,No
19,Good,1/4,No
20,Good,1/4,No
21,Poor,1/16,Yes
22,Poor,1/16,Yes
23,Poor,1/16,Yes
24,Poor,1/16,Yes
25,Poor,1/16,Yes
26,Poor,Control,Yes
27,Poor,Control,Yes
28,Poor,Control,Yes
29,Poor,Control,Yes
30,Poor,Control,Yes
31,Good,Control,Yes
32,Good,Control,Yes
33,Good,Control,Yes
34,Good,Control,Yes
35,Good,Control,Yes
36,Good,1,Yes
37,Good,1,Yes
38,Good,1,Yes
39,Good,1,Yes
40,Good,1,Yes
41,Good,1/16,Yes
42,Good,1/16,Yes
43,Good,1/16,Yes
44,Good,1/16,Yes
45,Good,1/16,Yes
46,Good,1/64,No
47,Good,1/64,No
48,Good,1/64,No
49,Good,1/64,No
50,Good,1/64,No
51,Good,Control,Yes
52,Good,Control,Yes
53,Good,Control,Yes
54,Good,Control,Yes
55,Good,Control,Yes
56,Good,1/4,No
57,Good,1/4,No
58,Good,1/4,No
59,Good,1/4,No
60,Good,1/4,No
61,Poor,1/16,Yes
62,Poor,1/16,Yes
63,Poor,1/16,Yes
64,Poor,1/16,Yes
65,Poor,1/16,Yes
66,Poor,1,Yes
67,Poor,1,Yes
68,Poor,1,Yes
69,Poor,1,Yes
70,Poor,1,Yes
71,Poor,1/4,No
72,Poor,1/4,No
73,Poor,1/4,No
74,Poor,1/4,No
75,Poor,1/4,No
76,Good,1/16,Yes
77,Good,1/16,Yes
78,Good,1/16,Yes
79,Good,1/16,Yes
80,Good,1/16,Yes
81,Good,1,Yes
82,Good,1,Yes
83,Good,1,Yes
84,Good,1,Yes
85,Good,1,Yes
86,Good,1/64,No
87,Good,1/64,No
88,Good,1/64,No
89,Good,1/64,No
90,Good,1/64,No
91,Poor,Control,Yes
92,Poor,Control,Yes
93,Poor,Control,Yes
94,Poor,Control,Yes
95,Poor,Control,Yes
96,Poor,1/64,No
97,Poor,1/64,No
98,Poor,1/64,No
99,Poor,1/64,No
100,Poor,1/64,No
